name,type,rating,price,address,zipCode,note,coordinates
banh cuon luu luyen,vietnamese,4.4,1,14351 n euclid st #1j,92843,"banh cuon - giant rice noodles and fried shallots, you dip it in fish sauce","33.754030010190874, -117.93852853462471"
the original pantry cafe,diner,4.5,2,877 s figueroa st,90017,,"34.04658365769438, -118.26287290571908"
gardena bowl coffee shop,diner,4.6,1,15707 s vermont ave,90247,"the hawaiian royal and the garlic chicken. The first is what feels like a 10-pound plate of fried rice, chopped portuguese sausage, chashu, eggs and diced green onion, drizzled with sweet teriyaki sauce. it can feed a family of four. the garlic chicken is boneless and fried, served with a sweet soy sauce punctuated with just a hint of garlic","33.88818441141037, -118.29213929041299"
bobs big boy,hamburger,4.4,1,7447 firestone blvd,90241,"bowls of spaghetti covered in chili — the kind you’d find on a really good chili cheese dog, with shredded cheddar and diced onion. corned beef hash. the meat, chopped fresh every morning, tastes of coriander, mustard and peppercorns. you can order the plate with eggs, hash browns and pancakes (instead of toast)","33.94780190543032, -118.14712119225071"
baos hog,chinese,4.5,1,13918 brookhurst st,92843,crispy pork belly and roasted duck,"33.76039267912823, -117.95469516345918"
panaderia custcatleca,bakery,4.3,1,1566 w pico blvd,90015,,"34.044317923491874, -118.27646583455552"
luv2eat thai bistro,thai,4.5,1,6660 sunset blvd,90028,,"34.0978939066161, -118.33585249036301"
el camaron pelado,spanish,4.2,2,2676 pasadena ave,90031,"michelada, tacos dorados de camaron, tostada de pulp","34.07882779921521, -118.21484903454747"
huge tree pastry,taiwanese,4,1,423 n atlanticd blvd,91754,tiao - chinese donut. with sweet or salty soy milk or tofu topped with pork floss and scallions or in the burrito like fan tuan,"34.06768571676375, -118.13494353455013"
delicious food corner,chinese,4.3,1,2325 s garfield ave,91754,donuts with hong kong milk tea or congee. steamed flour rolls wrapped around still crispy crullers and covered in creamy sesame soy sauce,"34.03605291164489, -118.13071220572162"
kim kee noodle cafe,chinese,4.3,1,441 w garvey ave,91754,guangdong province and south asian countries (chi chow cuisine). ask for side of tiao - crispy hot donut for dipping in soup,"34.062802600535974, -118.12841146338721"
tortas ahogadas guadalajara,mexican,4.2,2,6052 santa fe ave,90255,torta ahogada estilo guadalajra (sandwich). like a french dip with super sourdough salty bread. get it bien agoda - well drowned and ask for spicy,"33.986577132442825, -118.22988793456952"
bay cities italian deli and bakery,deli,4.6,2,1517 lincoln blvd,90401,"italian subs, godmother sub","34.01816245831168, -118.48920192106986"
lodge bread company,bakery,4.6,2,11918 washington blvd,90066,sourdough cinammon roll,"33.99787849052644, -118.42030019223876"
bronzed aussie,australian,4.6,1,1437 s robertson blvd,90035,australian bakery,"34.053846372448945, -118.38403386338945"
belizean paradise cuisine,caribbean,4.5,1,1271 s la brea ave,90019,,"34.051730244737435, -118.34476339407783"
trinistyle cuisine,caribbean,4.5,1,2159 century blvd,90047,trinidadian food. one sundays - trini style brunch,"33.94592400905373, -118.3174134922511"
philippe the original,sandwich,4.6,1,1001 n alameda st,90012,"french dip, bread is good, pickled egg","34.05982841748869, -118.23705964989583"
chaaste family market,filipino,4.7,1,296 allen ave #3,91106,filipino market and deli. good turon - ensamaidas,"34.151454842171475, -118.11264674987402"
delias restaurant,filipino,4.3,1,860 carson st #121,90745,also has jbjs bakery next door - sweet cheese rolls,"33.8308784115084, -118.2595723922784"
chow fun express,filipino,3.7,1,148 w carson st,90745,pancit - noodles,"33.831426026520916, -118.27873450762225"
manila sunrise,filipino,4.1,1,21828 main st,90745,palabok - thin noodle dish,"33.82989813887349, -118.27732643831045"
mami king restaurant,filipino,4.1,1,22222 s main st,90745,,"33.82517744901643, -118.2755828652956"
maynila on main street,filipino,3.9,2,22102 s maint st,90745,,"33.826281892990785, -118.27609307323168"
manilas lechon,filipino,4.2,1,118 w carson st,90745,,"33.83100620062035, -118.27834181926247"
manila good-ha fast food,filipino,4,1,8205 woodman ave,91402,turo turo style - cafeteria style,"34.21957087529146, -118.4324325038259"
sonoratown,mexican,4.5,1,208 e 8th st,90014,2nd best tacos burritos. after la palmas,"34.04181745019279, -118.25219912106424"
taco maria,mexican,4.5,3,3313 hyland ave,92626,,"33.69486555394158, -117.92574526347468"
guerrilla tacos,mexican,4.5,2,2000 e 7th st,90021,,"34.0346740786699, -118.23218366524581"
lasita rotisserie and natural wine,filipino,4.6,2,727 n broadway #120,90012,lechon,"34.06165855523448, -118.23943880571551"
cerveteca culver city,mexican,4.5,2,9418 venice blvd,90232,breakfast burrito,"34.025187175636205, -118.3952796787403"
quan mii restaurant,vietnamese,4.2,1,9541 bolsa ave,92683,"banh beo xu quang - steamed rice cakes, banh canh - udon, banh xeo dac biet - mung bean crepe","33.74588207521334, -117.9628404076426"
the brothers sushi,sushi,4.5,2,21418 ventura blvd,91364,,"34.167929812701786, -118.59830603637799"
mr sate,indonesian,4.6,1,3456 motor ave #104,90034,"soto betawi - coconut soup, nasi goreng, gado gado - peanut salad, soto ayam - chicken soup, satay, Nasi Kunming - yellow rice, nasi bungkus, bakwong jadong - fried corn fritters","34.02679088931393, -118.40844983455978"
